request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_185,644.4,affordable_later,wait,2026-01-13:1257.3,2026-01-13,none,Pay EUR 1257.3 in full on 2026-01-13. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,19164.91,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 26554 request by 2026-03-15. None of the available options keeps the ZAR 22000 minimum protected.
request_187,45208.7,affordable_later,wait,2024-11-13:187500,2024-11-13,none,Pay INR 187500 in full on 2024-11-13. Paying earlier would take the balance below the INR 128300 minimum.
request_188,318.3,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2464 request by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. This keeps the EUR 400 minimum protected over the next 90 days.
request_190,891.95,affordable_later,wait,2025-02-05:2557.5,2025-02-05,none,Pay EUR 2557.5 in full on 2025-02-05. Paying earlier would take the balance below the EUR 1600 minimum.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today. This keeps the EUR 500 minimum protected over the next 90 days.
request_192,338.8,affordable_later,wait,2026-06-14:2046,2026-06-14,none,Pay USD 2046 in full on 2026-06-14. Paying earlier would take the balance below the USD 1000 minimum.
request_193,211.41,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-17,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This keeps the EUR 1000 minimum protected."
request_194,51896.2,affordable_later,wait,2025-10-13:132800,2025-10-13,none,Pay INR 132800 in full on 2025-10-13. Paying earlier would take the balance below the INR 113600 minimum.
request_195,1111.5,not_affordable,not_recommended,none,2026-03-15,none,Do not proceed with the EUR 1170.4 request by 2026-03-11. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. This keeps the EUR 500 minimum protected over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 50939000 request by 2026-01-21. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This keeps the INR 124300 minimum protected over the next 90 days.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8.20699e+06|2024-10-08:8.20699e+06|2024-11-08:8.20699e+06,2024-09-04,none,"Use 3 installments of IDR 8.20699e+06, starting 2024-09-07. This keeps the IDR 25359500 minimum protected."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This keeps the IDR 20114600 minimum protected over the next 90 days.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This keeps the IDR 17304500 minimum protected over the next 90 days.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This keeps the INR 147800 minimum protected over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This keeps the EUR 1400 minimum protected."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This keeps the EUR 1300 minimum protected over the next 90 days.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This keeps the IDR 13994300 minimum protected over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This keeps the EUR 900 minimum protected."
request_207,9391.31,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13600 minimum.
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 today. This keeps the IDR 10470700 minimum protected over the next 90 days.
request_209,3108.81,not_affordable,not_recommended,none,2026-02-01,none,Do not proceed with the ZAR 56914 request by 2025-11-25. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1360.02,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-06,none,"Use 3 installments of USD 471.48, starting 2026-04-06. This keeps the USD 2000 minimum protected."
request_211,1023.03,affordable_later,wait,2024-10-16:1788.6,2024-10-16,none,Pay EUR 1788.6 in full on 2024-10-16. Paying earlier would take the balance below the EUR 1500 minimum.
request_212,11723846.24,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 71934000 request by 2025-02-28. None of the available options keeps the IDR 29579800 minimum protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This keeps the USD 2100 minimum protected."
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Use 2 installments of INR 36270, starting 2024-12-04. This keeps the INR 174900 minimum protected."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.1|2025-06-06:10395.1|2025-07-04:10395.1,2025-05-06,none,"Use 3 installments of ZAR 10395.1, starting 2025-05-09. This keeps the ZAR 15700 minimum protected."
request_216,723.76,not_affordable,not_recommended,none,,none,Do not proceed with the USD 3332.4 request by 2026-09-15. None of the available options keeps the USD 1800 minimum protected.
request_217,24658.52,affordable_with_plan,installments,2024-03-19:12889.1|2024-04-19:12889.1|2024-05-20:12889.1,2024-04-09,none,"Use 3 installments of ZAR 12889.1, starting 2024-03-19. This keeps the ZAR 26800 minimum protected."
request_218,30943295.17,affordable_with_plan,installments,2025-08-07:2.11959e+07|2025-09-04:2.11959e+07|2025-10-02:2.11959e+07,2025-09-15,none,"Use 3 installments of IDR 2.11959e+07, starting 2025-08-07. This keeps the IDR 34477200 minimum protected."
request_219,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1673.1 request by 2026-06-13. None of the available options keeps the EUR 1100 minimum protected.
request_220,213.25,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 3118.5 request by 2024-07-03. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This keeps the INR 81500 minimum protected over the next 90 days.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This keeps the ZAR 27300 minimum protected over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. This keeps the EUR 800 minimum protected over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 2025-02-04. This keeps the IDR 22187600 minimum protected."
request_225,14739409.6,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,"Use 3 installments of IDR 7647120, starting 2026-07-20. This keeps the IDR 17670700 minimum protected."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This keeps the INR 209400 minimum protected over the next 90 days.
request_227,37884.49,not_affordable,not_recommended,none,,none,Do not proceed with the INR 259700 request by 2025-06-20. None of the available options keeps the INR 62900 minimum protected.
request_228,7643700.0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 63327000 request by 2026-04-30. None of the available options keeps the IDR 26191200 minimum protected.
request_229,631.8,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This keeps the EUR 1000 minimum protected."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. This keeps the EUR 2000 minimum protected over the next 90 days.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.1|2026-02-05:12378.1|2026-03-07:12378.1,2026-01-03,none,"Use 3 installments of ZAR 12378.1, starting 2026-01-06. This keeps the ZAR 24300 minimum protected."
request_232,1118.4,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1970.1 request by 2024-08-15. None of the available options keeps the EUR 2400 minimum protected.
request_233,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 6241000 request by 2025-12-17. None of the available options keeps the IDR 10365700 minimum protected.
request_234,409.85,affordable_later,wait,2026-09-13:1213.3,2026-09-13,none,Pay EUR 1213.3 in full on 2026-09-13. Paying earlier would take the balance below the EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. This keeps the USD 700 minimum protected over the next 90 days.
request_236,7216008.61,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52383000 request by 2025-02-23. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This keeps the IDR 22431500 minimum protected over the next 90 days.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This keeps the USD 700 minimum protected."
request_239,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 642 request by 2025-05-24. None of the available options keeps the USD 600 minimum protected.
request_240,26760.0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 101200 request by 2026-03-20. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7.29803e+06|2024-04-17:7.29803e+06|2024-05-18:7.29803e+06,2024-03-03,none,"Use 3 installments of IDR 7.29803e+06, starting 2024-03-17. This keeps the IDR 19252000 minimum protected."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1966.8 request by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This keeps the ZAR 19900 minimum protected over the next 90 days.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This keeps the ZAR 45900 minimum protected over the next 90 days.
request_245,57775.43,affordable_later,wait,2026-01-13:128500,2026-01-13,none,Pay INR 128500 in full on 2026-01-13. Paying earlier would take the balance below the INR 94600 minimum.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.5|2026-05-03:22216.5|2026-06-02:22216.5,2026-04-03,none,"Use 3 installments of ZAR 22216.5, starting 2026-04-03. This keeps the ZAR 39300 minimum protected."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. This keeps the EUR 1300 minimum protected over the next 90 days.
request_248,1507.36,not_affordable,not_recommended,none,,none,Do not proceed with the USD 1965.6 request by 2025-04-28. None of the available options keeps the USD 1300 minimum protected.
request_249,240.95,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.2 in full on 2026-03-15. Paying earlier would take the balance below the USD 600 minimum.
request_250,17705.54,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 124278 request by 2025-01-18. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Do not proceed with the EUR 1513.6 request by 2025-06-06. None of the available options keeps the EUR 1300 minimum protected.
request_252,7805662.39,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,Pay IDR 28082000 in full on 2026-09-13. Paying earlier would take the balance below the IDR 15152200 minimum.
request_253,1717.57,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-18,none,"Use 3 installments of EUR 984.6, starting 2024-03-21. This keeps the EUR 2300 minimum protected."
request_254,1464.69,affordable_later,wait,2025-09-01:3535.2,2025-09-01,none,Pay USD 3535.2 in full on 2025-09-01. Paying earlier would take the balance below the USD 2500 minimum.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This keeps the IDR 9813900 minimum protected over the next 90 days.
request_256,181285.07,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-14,none,"Use 3 installments of INR 75816, starting 2024-06-10. This keeps the INR 168600 minimum protected."
request_257,865.15,affordable_later,wait,2026-01-16:1352.4,2026-01-16,none,Pay USD 1352.4 in full on 2026-01-16. Paying earlier would take the balance below the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. This keeps the USD 500 minimum protected over the next 90 days.
request_259,529.3,affordable_later,wait,2024-10-14:935,2024-10-14,none,Pay EUR 935 in full on 2024-10-14. Paying earlier would take the balance below the EUR 600 minimum.
request_260,11966166.79,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52079000 request by 2025-04-18. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. This keeps the EUR 1500 minimum protected over the next 90 days.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This keeps the IDR 31018500 minimum protected over the next 90 days.
request_263,10697.08,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51546 request by 2025-06-15. None of the available options keeps the ZAR 24100 minimum protected.
request_264,36910.0,affordable_later,wait,2026-06-13:111300,2026-06-13,none,Pay INR 111300 in full on 2026-06-13. Paying earlier would take the balance below the INR 59500 minimum.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This keeps the INR 189700 minimum protected over the next 90 days.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This keeps the EUR 900 minimum protected."
request_267,1899.37,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-14,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This keeps the EUR 1500 minimum protected."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This keeps the EUR 1400 minimum protected."
request_269,0.0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 15490 request by 2026-01-02. None of the available options keeps the ZAR 23100 minimum protected.
request_270,242.15,not_affordable,not_recommended,none,2026-09-21,none,Do not proceed with the USD 3028.8 request by 2026-08-30. None of the available options keeps the USD 1400 minimum protected.
request_271,61253.73,affordable_later,wait,2024-11-03:91300,2024-11-03,none,Pay INR 91300 in full on 2024-11-03. Paying earlier would take the balance below the INR 58200 minimum.
request_272,8008424.0,affordable_with_plan,installments,2025-02-12:4.70947e+06|2025-03-12:4.70947e+06|2025-04-09:4.70947e+06,2025-02-08,none,"Use 3 installments of IDR 4.70947e+06, starting 2025-02-12. This keeps the IDR 7508600 minimum protected."
request_273,12228400.0,affordable_with_plan,partial_payment,2026-04-07:12228400|2026-04-14:3632600,2026-04-14,none,Pay IDR 12228400 today and the remaining IDR 3632600 on 2026-04-14. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2712.32,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-16,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This keeps the EUR 1800 minimum protected."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This keeps the IDR 12760100 minimum protected over the next 90 days.
